"","ID","Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal"
"6463",65152,"Mehtap Kurnaz","F",21,160,63,"Turkey",2016,"Weightlifting",NA
"6464",65166,"Akane Kuroki","F",37,165,50,"Japan",2016,"Equestrianism",NA
"6465",65166,"Akane Kuroki","F",37,165,50,"Japan",2016,"Equestrianism",NA
"6466",65170,"Moses Martin Kurong","M",22,NA,NA,"Uganda",2016,"Athletics",NA
"6467",65199,"Amanda Maria Kurtovic","F",25,175,71,"Norway",2016,"Handball","Bronze"
"6468",65206,"Anton Sudesh Peiris Kurukulasooriyage","M",31,165,65,"Sri Lanka",2016,"Weightlifting",NA
"6469",65219,"Mateusz Kus","M",29,200,112,"Poland",2016,"Handball",NA
"6470",65233,"Masatoshi Kushibiki","M",23,186,80,"Japan",2016,"Football",NA
"6471",65257,"Sabine Kusterer","F",25,156,60,"Germany",2016,"Weightlifting",NA
"6472",65309,"Thabiso Simon Kutumela","M",23,175,68,"South Africa",2016,"Football",NA
"6473",65322,"Kristina Kuusk","F",30,180,74,"Estonia",2016,"Fencing",NA
"6474",65331,"Ano Kuwai","F",26,172,70,"Japan",2016,"Rugby Sevens",NA
"6475",65337,"Yusaku Kuwazuru","M",30,188,98,"Japan",2016,"Rugby Sevens",NA
"6476",65379,"Mindaugas Kuzminskas","M",26,206,98,"Lithuania",2016,"Basketball",NA
"6477",65384,"Andrey Aleksandrovich Kuznetsov","M",25,185,71,"Russia",2016,"Tennis",NA
"6478",65393,"Mikhail Nikolayevich Kuznetsov","M",31,174,72,"Russia",2016,"Canoeing",NA
"6479",65410,"Yevgeny Vladimirovich Kuznetsov","M",26,170,64,"Russia",2016,"Diving",NA
"6480",65410,"Yevgeny Vladimirovich Kuznetsov","M",26,170,64,"Russia",2016,"Diving",NA
"6481",65411,"Polina Viktorovna Kuznetsova (Vyakhireva-)","F",29,168,60,"Russia",2016,"Handball","Gold"
"6482",65413,"Svetlana Aleksandrovna Kuznetsova","F",31,174,73,"Russia",2016,"Tennis",NA
"6483",65413,"Svetlana Aleksandrovna Kuznetsova","F",31,174,73,"Russia-1",2016,"Tennis",NA
"6484",65424,"Nataliya Yuryevna Kuzyutina","F",27,160,52,"Russia",2016,"Judo","Bronze"
"6485",65444,"Illia Olehovych Kvasha","M",28,176,73,"Ukraine",2016,"Diving",NA
"6486",65449,"Matija Kvasina","M",34,180,72,"Croatia",2016,"Cycling",NA
"6487",65456,"Andriy Vasylovych Kviatkovskiy","M",26,175,65,"Ukraine",2016,"Wrestling",NA
"6488",65461,"Petra Kvitov","F",26,183,70,"Czech Republic",2016,"Tennis","Bronze"
"6489",65470,"Kwak Jung-Hye","F",29,164,64,"South Korea",2016,"Shooting",NA
"6490",65488,"Ronald Chebolei Kwemoi","M",20,172,58,"Kenya",2016,"Athletics",NA
"6491",65491,"Micha Kwiatkowski","M",26,176,66,"Poland",2016,"Cycling",NA
"6492",65491,"Micha Kwiatkowski","M",26,176,66,"Poland",2016,"Cycling",NA
"6493",65509,"Kwon Chang-Hoon","M",22,174,66,"South Korea",2016,"Football",NA
"6494",65510,"Kwon Jun-Cheol","M",27,178,76,"South Korea",2016,"Shooting",NA
"6495",65515,"Kwon Yong-Gwang","M",20,165,68,"North Korea",2016,"Weightlifting",NA
"6496",65537,"Mark Kyle","M",43,183,80,"Ireland",2016,"Equestrianism",NA
"6497",65537,"Mark Kyle","M",43,183,80,"Ireland",2016,"Equestrianism",NA
"6498",65538,"Tanja Kylliinen","F",23,155,57,"Finland",2016,"Swimming",NA
"6499",65538,"Tanja Kylliinen","F",23,155,57,"Finland",2016,"Swimming",NA
"6500",65541,"Maryna V'iacheslavivna Kylypko","F",20,164,58,"Ukraine",2016,"Athletics",NA
"6501",65542,"Erik Kynard, Jr.","M",25,194,89,"United States",2016,"Athletics",NA
"6502",65573,"Anhelina Anatolivna Kysla","F",25,158,49,"Ukraine",2016,"Gymnastics",NA
"6503",65573,"Anhelina Anatolivna Kysla","F",25,158,49,"Ukraine",2016,"Gymnastics",NA
"6504",65573,"Anhelina Anatolivna Kysla","F",25,158,49,"Ukraine",2016,"Gymnastics",NA
"6505",65573,"Anhelina Anatolivna Kysla","F",25,158,49,"Ukraine",2016,"Gymnastics",NA
"6506",65584,"Enrico La Cruz","M",22,181,60,"Netherlands",2016,"Boxing",NA
"6507",65585,"Julio Csar La Cruz Peraza","M",26,182,81,"Cuba",2016,"Boxing","Gold"
"6508",65597,"Livio La Padula","M",30,183,72,"Italy",2016,"Rowing",NA
"6509",65602,"Stefano La Rosa","M",30,166,55,"Italy",2016,"Athletics",NA
"6510",65619,"El-Hadi Laameche","M",26,165,60,"Algeria",2016,"Athletics",NA
"6511",65621,"Tanel Laanme","M",26,183,95,"Estonia",2016,"Athletics",NA
"6512",65626,"Liina Laasma","F",24,174,67,"Estonia",2016,"Athletics",NA
"6513",65645,"Jana Labthov","F",27,162,50,"Slovakia",2016,"Synchronized Swimming",NA
"6514",65649,"Ibragim Suleymanovich Labazanov","M",28,164,59,"Russia",2016,"Wrestling",NA
"6515",65652,"Stephanie Lynn Marie Labb","F",29,178,53,"Canada",2016,"Football","Bronze"
"6516",65658,"Lissa Mary Audrey Labiche","F",23,172,55,"Seychelles",2016,"Athletics",NA
"6517",65694,"Yevgeny Labutov","M",31,194,120,"Kazakhstan",2016,"Athletics",NA
"6518",65705,"Rafael Antonio Lacayo Paladino","M",17,178,59,"Nicaragua",2016,"Shooting",NA
"6519",65706,"Genevieve LaCaze","F",26,164,53,"Australia",2016,"Athletics",NA
"6520",65706,"Genevieve LaCaze","F",26,164,53,"Australia",2016,"Athletics",NA
"6521",65726,"Hasnaa Lachgar","F",26,164,60,"Morocco",2016,"Boxing",NA
"6522",65727,"Asadulla Sabziyevich Lachinov","M",30,158,60,"Belarus",2016,"Wrestling",NA
"6523",65758,"Camille Lacourt","M",31,200,85,"France",2016,"Swimming",NA
"6524",65758,"Camille Lacourt","M",31,200,85,"France",2016,"Swimming",NA
"6525",65759,"Alexandra Lacrabre","F",29,177,73,"France",2016,"Handball","Silver"
"6526",65762,"Audrey Lacroix","F",32,163,53,"Canada",2016,"Swimming",NA
"6527",65770,"Jessie Khing Lacuna","M",22,170,70,"Philippines",2016,"Swimming",NA
"6528",65777,"Caroline Ladagnous","F",27,172,65,"France",2016,"Rugby Sevens",NA
"6529",65796,"Rogen Ladon","M",22,165,49,"Philippines",2016,"Boxing",NA
"6530",65806,"Vegard Stake Laengen","M",27,193,77,"Norway",2016,"Cycling",NA
"6531",65825,"Franck Lafitte","M",27,203,94,"France",2016,"Volleyball",NA
"6532",65831,"Thea LaFond","F",22,173,65,"Dominica",2016,"Athletics",NA
"6533",65832,"Marie-Zlia Lafont","F",29,171,63,"France",2016,"Canoeing",NA
"6534",65854,"Bernard Kipchirchir Lagat","M",41,173,58,"United States",2016,"Athletics",NA
"6535",65856,"Viola Cheptoo Lagat","F",27,165,NA,"Kenya",2016,"Athletics",NA
"6536",65867,"Albin Lagergren","M",23,188,94,"Sweden",2016,"Handball",NA
"6537",65878,"Karim Florent Laghouag","M",40,177,70,"France",2016,"Equestrianism",NA
"6538",65878,"Karim Florent Laghouag","M",40,177,70,"France",2016,"Equestrianism","Gold"
"6539",65924,"Anirban Lahiri","M",29,175,NA,"India",2016,"Golf",NA
"6540",65938,"Abdelmalik Lahoulou","M",24,177,72,"Algeria",2016,"Athletics",NA
"6541",65942,"Driss Lahrichi","M",18,190,83,"Morocco",2016,"Swimming",NA
"6542",65943,"Mouhcine Lahsaini","M",30,184,77,"Morocco",2016,"Cycling",NA
"6543",65943,"Mouhcine Lahsaini","M",30,184,77,"Morocco",2016,"Cycling",NA
"6544",65953,"Sarah Lahti","F",21,177,57,"Sweden",2016,"Athletics",NA
"6545",65964,"Lai Chu-En","M",20,168,56,"Chinese Taipei",2016,"Boxing",NA
"6546",65976,"Francisca Dias Laia","F",22,163,57,"Portugal",2016,"Canoeing",NA
"6547",66006,"Alexus Lucienne Laird","F",23,172,61,"Seychelles",2016,"Swimming",NA
"6548",66009,"Nicole Laird","F",23,191,75,"Australia-2",2016,"Beach Volleyball",NA
"6549",66032,"Pierre-Gilles Lakafia","M",29,183,95,"France",2016,"Rugby Sevens",NA
"6550",66037,"Morgan Alexandra Lake","F",19,180,68,"Great Britain",2016,"Athletics",NA
"6551",66054,"Sunita Lakra","F",25,158,57,"India",2016,"Hockey",NA
"6552",66086,"Jade Louise Lally","F",29,182,88,"Great Britain",2016,"Athletics",NA
"6553",66088,"Genevive Lalonde","F",24,170,58,"Canada",2016,"Athletics",NA
"6554",66092,"Ivet Miroslavova Lalova-Collio","F",32,168,56,"Bulgaria",2016,"Athletics",NA
"6555",66092,"Ivet Miroslavova Lalova-Collio","F",32,168,56,"Bulgaria",2016,"Athletics",NA
"6556",66123,"Eric Lamaze","M",48,170,65,"Canada",2016,"Equestrianism","Bronze"
"6557",66123,"Eric Lamaze","M",48,170,65,"Canada",2016,"Equestrianism",NA
"6558",66130,"Hayat Lambarki","F",28,172,57,"Morocco",2016,"Athletics",NA
"6559",66131,"Stephen Lambdin","M",28,188,109,"United States",2016,"Taekwondo",NA
"6560",66132,"Claire Lambe","F",26,178,57,"Ireland",2016,"Rowing",NA
"6561",66160,"Peter Lambert","M",29,190,90,"Great Britain",2016,"Rowing",NA
"6562",66175,"Regan Lamble","F",24,174,55,"Australia",2016,"Athletics",NA
"6563",66180,"Tracey Lambrechs","F",30,167,105,"New Zealand",2016,"Weightlifting",NA
"6564",66216,"Mathilde Lamolle","F",19,167,58,"France",2016,"Shooting",NA
"6565",66218,"Francesco Lamon","M",22,173,60,"Italy",2016,"Cycling",NA
"6566",66226,"Rnelle Lamote","F",22,165,59,"France",2016,"Athletics",NA
"6567",66290,"Narcisa Marisol Landzuri Bentez","F",25,165,52,"Ecuador",2016,"Athletics",NA
"6568",66315,"Niklas Landin Jacobsen","M",27,201,102,"Denmark",2016,"Handball","Gold"
"6569",66328,"Laurisa Landre","F",30,174,67,"France",2016,"Handball","Silver"
"6570",66337,"Ghislaine Landry","F",28,163,65,"Canada",2016,"Rugby Sevens","Bronze"
"6571",66367,"Megan Lane","F",25,178,66,"Canada",2016,"Equestrianism",NA
"6572",66383,"Benjamin Lang","M",29,186,86,"France",2016,"Rowing",NA
"6573",66415,"Haniel Vincius Inoue Langaro","M",21,197,104,"Brazil",2016,"Handball",NA
"6574",66429,"Klaus Lange Saubidet","M",21,182,81,"Argentina",2016,"Sailing",NA
"6575",66437,"Santiago Ral Lange Roberti","M",54,184,73,"Argentina",2016,"Sailing","Gold"
"6576",66441,"Yago Lange Saubidet","M",28,180,77,"Argentina",2016,"Sailing",NA
"6577",66447,"Harold Langen","M",29,188,90,"Netherlands",2016,"Rowing",NA
"6578",66463,"Kai Langerfeld","M",29,197,100,"Canada",2016,"Rowing",NA
"6579",66498,"Andranne Langlois","F",23,158,59,"Canada",2016,"Canoeing",NA
"6580",66498,"Andranne Langlois","F",23,158,59,"Canada",2016,"Canoeing",NA
"6581",66501,"Miah-Marie Langlois","F",24,170,63,"Canada",2016,"Basketball",NA
"6582",66516,"Christopher Phillip ""Chris"" Langridge","M",31,180,NA,"Great Britain",2016,"Badminton","Bronze"
"6583",66517,"Matthew Keir ""Matt"" Langridge","M",33,194,93,"Great Britain",2016,"Rowing","Gold"
"6584",66525,"Annika Langvad","F",32,174,63,"Denmark",2016,"Cycling",NA
"6585",66530,"Arthur Lanigan-O'Keeffe","M",24,182,76,"Ireland",2016,"Modern Pentathlon",NA
"6586",66534,"Aurimas Lankas","M",30,178,89,"Lithuania",2016,"Canoeing","Bronze"
"6587",66546,"Talisa Lanoe","F",22,167,50,"Kenya",2016,"Swimming",NA
"6588",66549,"Delphine Lansac","F",21,169,60,"France",2016,"Badminton",NA
"6589",66572,"Monica Lanz","F",25,180,70,"Netherlands",2016,"Rowing",NA
"6590",66575,"Filippo Lanza","M",25,198,98,"Italy",2016,"Volleyball","Silver"
"6591",66595,"Peamwilai Laopeam","F",32,163,51,"Thailand",2016,"Boxing",NA
"6592",66612,"Fabrice Lapierre","M",32,179,69,"Australia",2016,"Athletics",NA
"6593",66639,"Danielle Suzanne Lappage","F",25,165,63,"Canada",2016,"Wrestling",NA
"6594",66653,"Nicols Laprovittola","M",26,193,88,"Argentina",2016,"Basketball",NA
"6595",66690,"Manrique Larduet Bicet","M",20,160,63,"Cuba",2016,"Gymnastics",NA
"6596",66690,"Manrique Larduet Bicet","M",20,160,63,"Cuba",2016,"Gymnastics",NA
"6597",66690,"Manrique Larduet Bicet","M",20,160,63,"Cuba",2016,"Gymnastics",NA
"6598",66690,"Manrique Larduet Bicet","M",20,160,63,"Cuba",2016,"Gymnastics",NA
"6599",66690,"Manrique Larduet Bicet","M",20,160,63,"Cuba",2016,"Gymnastics",NA
"6600",66690,"Manrique Larduet Bicet","M",20,160,63,"Cuba",2016,"Gymnastics",NA
"6601",66703,"Ian Lariba","F",21,162,56,"Philippines",2016,"Table Tennis",NA
"6602",66710,"Dmitry Olegovich Larionov","M",30,185,84,"Russia",2016,"Canoeing",NA
"6603",66714,"Yekaterina Alekseyevna Larionova","F",22,158,63,"Kazakhstan",2016,"Wrestling","Bronze"
"6604",66721,"Larissa Frana Maestrini","F",34,174,68,"Brazil-2",2016,"Beach Volleyball",NA
"6605",66726,"Mitchell James ""Mitch"" Larkin","M",23,187,72,"Australia",2016,"Swimming",NA
"6606",66726,"Mitchell James ""Mitch"" Larkin","M",23,187,72,"Australia",2016,"Swimming","Silver"
"6607",66726,"Mitchell James ""Mitch"" Larkin","M",23,187,72,"Australia",2016,"Swimming","Bronze"
"6608",66736,"Jos Mara Larocca","M",47,187,83,"Argentina",2016,"Equestrianism",NA
"6609",66736,"Jos Mara Larocca","M",47,187,83,"Argentina",2016,"Equestrianism",NA
"6610",66786,"Emil Larsen","M",25,183,79,"Denmark",2016,"Football",NA
"6611",66805,"Jacob Sgaard Larsen","M",28,182,73,"Denmark",2016,"Rowing","Silver"
"6612",66806,"Jacob Bruun Larsen","M",17,183,74,"Denmark",2016,"Football",NA
"6613",66812,"Kasper Larsen","M",23,190,88,"Denmark",2016,"Football",NA
"6614",66820,"Mads Mensah Larsen","M",24,188,106,"Denmark",2016,"Handball","Gold"
"6615",66825,"Nicole Broch Larsen","F",23,179,75,"Denmark",2016,"Golf",NA
"6616",66827,"Niklas Larsen","M",19,180,74,"Denmark",2016,"Cycling","Bronze"
"6617",66861,"Jordan Quinn Larson-Burbach","F",29,188,75,"United States",2016,"Volleyball","Bronze"
"6618",66877,"Emma Maud Valborg Larsson","F",17,147,40,"Sweden",2016,"Gymnastics",NA
"6619",66877,"Emma Maud Valborg Larsson","F",17,147,40,"Sweden",2016,"Gymnastics",NA
"6620",66877,"Emma Maud Valborg Larsson","F",17,147,40,"Sweden",2016,"Gymnastics",NA
"6621",66877,"Emma Maud Valborg Larsson","F",17,147,40,"Sweden",2016,"Gymnastics",NA
"6622",66891,"Johanna Larsson","F",27,174,66,"Sweden",2016,"Tennis",NA
"6623",66936,"Emiliano Lasa Snchez","M",26,180,75,"Uruguay",2016,"Athletics",NA
"6624",66970,"James Lassche","M",26,191,71,"New Zealand",2016,"Rowing",NA
"6625",67017,"Gunta Latieva-udare","F",21,178,68,"Latvia",2016,"Athletics",NA
"6626",67035,"Maxwell Lattimer","M",23,185,72,"Canada",2016,"Rowing",NA
"6627",67047,"Grace Latz","F",28,183,80,"United States",2016,"Rowing",NA
"6628",67051,"Yin Yan ""Claudia"" Lau","F",23,160,56,"Hong Kong",2016,"Swimming",NA
"6629",67051,"Yin Yan ""Claudia"" Lau","F",23,160,56,"Hong Kong",2016,"Swimming",NA
"6630",67066,"Simone Laudehr","F",30,175,56,"Germany",2016,"Football","Gold"
"6631",67087,"Jonathan Laugel","M",23,194,100,"France",2016,"Rugby Sevens",NA
"6632",67089,"Jack David Laugher","M",21,166,65,"Great Britain",2016,"Diving","Silver"
"6633",67089,"Jack David Laugher","M",21,166,65,"Great Britain",2016,"Diving","Gold"
"6634",67098,"Jenna Laukkanen","F",21,182,80,"Finland",2016,"Swimming",NA
"6635",67098,"Jenna Laukkanen","F",21,182,80,"Finland",2016,"Swimming",NA
"6636",67098,"Jenna Laukkanen","F",21,182,80,"Finland",2016,"Swimming",NA
"6637",67112,"Anna Rosalie Eleonora Laurell-Nash","F",36,184,75,"Sweden",2016,"Boxing",NA
"6638",67155,"Germn Lujn Lauro","M",32,186,127,"Argentina",2016,"Athletics",NA
"6639",67160,"Jacob Barrett Laursen","M",21,184,75,"Denmark",2016,"Football",NA
"6640",67171,"Niklas Laustsen","M",23,189,95,"Denmark",2016,"Cycling",NA
"6641",67183,"Joffrey Lauvergne","M",24,209,115,"France",2016,"Basketball",NA
"6642",67222,"Tessa Lavey","F",23,172,68,"Australia",2016,"Basketball",NA
"6643",67224,"Karel Lavick","M",30,192,80,"Czech Republic",2016,"Sailing",NA
"6644",67233,"Renaud Lavillenie","M",29,177,71,"France",2016,"Athletics","Silver"
"6645",67243,"Claire Marie Anne Lavogez","F",22,173,63,"France",2016,"Football",NA
"6646",67293,"Olaseni Abdul-Jelili ""Shane"" Lawal","M",29,208,102,"Nigeria",2016,"Basketball",NA
"6647",67311,"Ashley Lawrence","F",21,163,59,"Canada",2016,"Football","Bronze"
"6648",67312,"Brijesh Sharmari ""BJ"" Lawrence","M",26,180,93,"Saint Kitts and Nevis",2016,"Athletics",NA
"6649",67332,"Shadae Lawrence","F",20,173,84,"Jamaica",2016,"Athletics",NA
"6650",67357,"Jarrion Lawson","M",22,188,78,"United States",2016,"Athletics",NA
"6651",67357,"Jarrion Lawson","M",22,188,78,"United States",2016,"Athletics",NA
"6652",67376,"Jian-Fang Lay (Hong-)","F",43,163,58,"Australia",2016,"Table Tennis",NA
"6653",67376,"Jian-Fang Lay (Hong-)","F",43,163,58,"Australia",2016,"Table Tennis",NA
"6654",67377,"Kirsti Lay (-Giroux)","F",28,173,65,"Canada",2016,"Cycling","Bronze"
"6655",67408,"Ayaal Lazarev","M",30,195,125,"Kyrgyzstan",2016,"Wrestling",NA
"6656",67429,"Julieta Constanza Lazcano Colodrero","F",27,190,74,"Argentina",2016,"Volleyball",NA
"6657",67441,"Suzana Lazovi","F",24,178,72,"Montenegro",2016,"Handball",NA
"6658",67472,"Le Chien-Ying","F",26,165,69,"Chinese Taipei",2016,"Archery",NA
"6659",67472,"Le Chien-Ying","F",26,165,69,"Chinese Taipei",2016,"Archery","Bronze"
